Part#,Product#,Product Line,Status,Standard,Non Standard,Sample,Details 1,Details 2
95021-020212001,95021,Gauge Hatches,SP,,SP,95021-06C201,"Quick Clamp / 316SS / 6"" / ANSI-FF 150 lb. Bolted / Locking on Quick-Clamp / Screw Down","6""FF LOK-CLMP GAGE/316SS"
1600F0000102102,1600F,Radar Level Gauges,TBD,,,,,1600F GLD/SPOT/LJHWY/24-4
94020=18015200,94020,Pressure / Vacuum Vents,Standard,94020-0A0I10,,,Open Vent / 10in / ALUMINUM I-ST / ANSI-FF 150# / HIGH / Expanda / Lead / FKM,"10""FF/AL O/V XOS VIT SP>2"
92021-31050200,92021,Automatic Tank Gauges,Standard,92021-31050200,,,NoKit,"LVL GAGE,INNAGE,FT/IN,N/M"
96900-02,96900,Fire Protection,TBD,,,,,HYDRAULIC OPERTR 1500# CA
95021-230200,95021,Gauge Hatches,Standard,95021-28B200,,,"Quick Clamp / Steel / 8"" / ANSI-RF 150 lb. Bolted / Standard No Lock","8""RF ANSI G/H Q'CLMP FEP/"
95021-030202,95021,Gauge Hatches,Standard,95021-08C200,,,"Quick Clamp / 316SS / 8"" / ANSI-FF 150 lb. Bolted / Standard No Lock","8"" ANSI GAGE HTCH 316SS Q"
97301T031261542,97301,Wastewater - Flares,Standard,97301T031261542,,,NoKit,"3"" A304 PSH304/304P CB304"
97570R190B03001,97570,Fire Protection,TBD,,,,,"12""AL|SS:T/B|AW|A/G|IW:ST"
94020=190113E61,94020,Pressure / Vacuum Vents,TBD,,,,,"12""BV HRD/ANOD XOS/LOX SS"
97120-126032101,97120,Wastewater - Tanks,SP,,SP,97120-12F12AB,12 / 316SS / CR / No Finish / None / 316/316L SS / ANSI-FF / 5 PSIG,"12""FF-316SS 316/SG 5# CR;"
97300T051771021,97300,Wastewater - Flares,Standard,97300T051771021,,,NoKit,"6""/304L CB/304 128""L AB P"
97120-121032001,97120,Wastewater - Tanks,SP,,SP,97120-12B12AB,12 / 316SS / NBR / No Finish / None / 316/316L SS / ANSI-FF / 25 PSIG,"12""FF 316SS 316/SG CR 25#"
826578,82657,L&J Spare Parts,TBD,,,,,ASSY 1500F LVL/2AI/LJ/TAV
94020=19011805,94020,Pressure / Vacuum Vents,Standard,94020-1A1K10,,,Open Vent / 12in / ALUMINUM I-ST / ANSI-FF 150# / MED / Expanda / 316 / FEP,"12""AL O/V|XOS|IW:6-16|316"
94570=751105AA2,94570,Fire Protection,TBD,,,,,"4""RF BV+FA A316SS STD<SP<"
95210-230212,95210,Gauge Hatches,Standard,95210-230212,,,NoKit,"24""ANSI MANHOLE COVER 316"
811180,81118,L&J Spare Parts,TBD,,,,,ASSY-2000M MAGNETIC BISCU
94200-32040200,94200,Emergency Vents,Standard,94200-4E4K10,,,"Aluminum / Standard / API / Standard / FEP / 24"" Pallet & Diaph.","24""API E/V-AL BASE&PAL|SP"
LB156-989,LB156,Spare Parts-MG,TBD,,,,,60MM ECLM SENSOR ASSY W/S
96181-0600,96181,Wastewater - Misc,Standard,96181-0600,,,NoKit,"4"" WATER DRN VLV W/6""FLG"
4357,4357,In-House Repair,TBD,,,,,IHPR PARTS & MATERIAL
97570=180B03001,97570,Fire Protection,TBD,,,,,"10""AL|SS:T/B|AW|JKT|IW:ST"
94020=76130200,94020,Pressure / Vacuum Vents,Standard,94021-6E6C10,,,"Closed, Standard Outlet > Inlet* / 6in / 316SS I-ST / ANSI-RF 150# / HIGH / Standard / Lead / FEP","6""X8""RF/316 C/V FEP SP>5"""
94307-542281003,94307,Fire Protection,TBD,,,,,"3""RF FLM/ARR HAST-C 316/H"
351    YL7275 8,351,,TBD,,,,,1203020102 351 MULTI-POIN
94311-06030111,94311,Fire Protection,Standard,94311-06030111,,,6in / CAST STEEL / ANSI-RF 150# / NPT,"6""150# DFA-STL,SS HDWR,3/"
94060-046541003,94060,Pressure / Vacuum Vents,TBD,,,,,"4""FRP OV D470+XCB|H|1.75#"
94020A561102052,94020,Pressure / Vacuum Vents,TBD,,,,,"6""RF BV/STL EXT/PNT SS/TR"
